name,homepage,description,languages
Matsoft,No Homepage,No Description,haskell,Y
Bytecard,No Homepage,No Description,kotlin,N
Fintone,No Homepage,No Description,objectivec,N
Daltfresh,No Homepage,No Description,cpp,N
Cookley,No Homepage,No Description,bash,N
Cookley,No Homepage,No Description,asm,Y
Sub-Ex,No Homepage,No Description,javascript,Y
Zontrax,No Homepage,No Description,kotlin,Y
Span,No Homepage,No Description,haskell,Y
Domainer,No Homepage,No Description,csharp,N
Lotstring,No Homepage,No Description,javascript,N
Fix San,No Homepage,No Description,python,Y
Span,No Homepage,No Description,java,Y
Stronghold,No Homepage,No Description,ocaml,N
Tresom,No Homepage,No Description,cpp,N
Domainer,No Homepage,No Description,csharp,N
Sub-Ex,No Homepage,No Description,python,N
Treeflex,No Homepage,No Description,java,Y
Tin,No Homepage,No Description,cpp,Y
Duobam,No Homepage,No Description,csharp,N
Zamit,No Homepage,No Description,cpp,N
Temp,No Homepage,No Description,haskell,Y
Quo Lux,No Homepage,No Description,haskell,N
Gembucket,No Homepage,No Description,csharp,N
Regrant,No Homepage,No Description,ocaml,Y
Gembucket,No Homepage,No Description,haskell,Y
Fixflex,No Homepage,No Description,cpp,N
Rank,No Homepage,No Description,javascript,N
Stringtough,No Homepage,No Description,java,Y
Treeflex,No Homepage,No Description,csharp,Y
Sonair,No Homepage,No Description,haskell,Y
Toughjoyfax,No Homepage,No Description,kotlin,Y
Domainer,No Homepage,No Description,javascript,Y
Stringtough,No Homepage,No Description,csharp,Y
Sonair,No Homepage,No Description,ocaml,Y
Viva,No Homepage,No Description,asm,N
Flexidy,No Homepage,No Description,haskell,N
Greenlam,No Homepage,No Description,javascript,Y
Sonsing,No Homepage,No Description,csharp,N
Ventosanzap,No Homepage,No Description,haskell,Y
Ventosanzap,No Homepage,No Description,kotlin,Y
Stronghold,No Homepage,No Description,cpp,N
Tin,No Homepage,No Description,objectivec,Y
Treeflex,No Homepage,No Description,haskell,Y
Latlux,No Homepage,No Description,bash,N
Holdlamis,No Homepage,No Description,java,N
Cookley,No Homepage,No Description,javascript,Y
Asoka,No Homepage,No Description,ocaml,N
Treeflex,No Homepage,No Description,java,Y
Kanlam,No Homepage,No Description,cpp,N
Duobam,No Homepage,No Description,objectivec,N
Transcof,No Homepage,No Description,cpp,N
Bytecard,No Homepage,No Description,asm,Y
Job,No Homepage,No Description,asm,Y
Mat Lam Tam,No Homepage,No Description,asm,N
Flowdesk,No Homepage,No Description,kotlin,N
Tempsoft,No Homepage,No Description,javascript,Y
Zamit,No Homepage,No Description,cpp,Y
Cardguard,No Homepage,No Description,haskell,Y
Span,No Homepage,No Description,cpp,N
Hatity,No Homepage,No Description,kotlin,Y
Overhold,No Homepage,No Description,java,N
Bitwolf,No Homepage,No Description,asm,Y
Cardguard,No Homepage,No Description,kotlin,Y
Overhold,No Homepage,No Description,bash,Y
Temp,No Homepage,No Description,haskell,Y
Aerified,No Homepage,No Description,kotlin,Y
Zontrax,No Homepage,No Description,asm,N
Zamit,No Homepage,No Description,haskell,Y
Sonsing,No Homepage,No Description,kotlin,N
Rank,No Homepage,No Description,bash,Y
Zoolab,No Homepage,No Description,kotlin,N
Cookley,No Homepage,No Description,cpp,N
Domainer,No Homepage,No Description,csharp,N
Greenlam,No Homepage,No Description,cpp,N
Zoolab,No Homepage,No Description,python,N
Overhold,No Homepage,No Description,python,Y
Regrant,No Homepage,No Description,kotlin,Y
Tampflex,No Homepage,No Description,java,N
Flexidy,No Homepage,No Description,asm,N
Domainer,No Homepage,No Description,objectivec,N
Temp,No Homepage,No Description,csharp,N
Treeflex,No Homepage,No Description,cpp,Y
Biodex,No Homepage,No Description,python,N
Treeflex,No Homepage,No Description,kotlin,Y
Stim,No Homepage,No Description,objectivec,Y
Tin,No Homepage,No Description,kotlin,Y
Cardguard,No Homepage,No Description,csharp,N
Alpha,No Homepage,No Description,ocaml,Y
Lotlux,No Homepage,No Description,python,N
Alpha,No Homepage,No Description,objectivec,N
Mat Lam Tam,No Homepage,No Description,python,N
Bitwolf,No Homepage,No Description,kotlin,N
Ronstring,No Homepage,No Description,python,Y
Matsoft,No Homepage,No Description,python,Y
Pannier,No Homepage,No Description,asm,Y
Ronstring,No Homepage,No Description,bash,N
Ronstring,No Homepage,No Description,ocaml,N
Kanlam,No Homepage,No Description,asm,N
Overhold,No Homepage,No Description,csharp,Y
Zontrax,No Homepage,No Description,cpp,N
Aerified,No Homepage,No Description,haskell,Y
Sonsing,No Homepage,No Description,csharp,N
Zamit,No Homepage,No Description,csharp,N
Bigtax,No Homepage,No Description,asm,Y
It,No Homepage,No Description,csharp,N
Kanlam,No Homepage,No Description,javascript,Y
Treeflex,No Homepage,No Description,python,N
Ronstring,No Homepage,No Description,haskell,Y
Bytecard,No Homepage,No Description,bash,N
Veribet,No Homepage,No Description,kotlin,N
Stim,No Homepage,No Description,asm,N
Treeflex,No Homepage,No Description,asm,Y
Bitwolf,No Homepage,No Description,objectivec,N
Tres-Zap,No Homepage,No Description,objectivec,N
Toughjoyfax,No Homepage,No Description,java,Y
Subin,No Homepage,No Description,java,N
Ronstring,No Homepage,No Description,csharp,N
Biodex,No Homepage,No Description,bash,N
Y-Solowarm,No Homepage,No Description,kotlin,N
Veribet,No Homepage,No Description,asm,Y
Ronstring,No Homepage,No Description,kotlin,N
Sonair,No Homepage,No Description,java,Y
Zathin,No Homepage,No Description,java,Y
Subin,No Homepage,No Description,csharp,Y
Rank,No Homepage,No Description,javascript,N
Pannier,No Homepage,No Description,asm,Y
Temp,No Homepage,No Description,asm,N
Pannier,No Homepage,No Description,cpp,Y
Bamity,No Homepage,No Description,cpp,N
Prodder,No Homepage,No Description,objectivec,Y
Temp,No Homepage,No Description,python,N
Ventosanzap,No Homepage,No Description,objectivec,Y
Alpha,No Homepage,No Description,kotlin,N
Cookley,No Homepage,No Description,bash,N
Stronghold,No Homepage,No Description,python,Y
Zaam-Dox,No Homepage,No Description,java,N
Asoka,No Homepage,No Description,asm,Y
It,No Homepage,No Description,python,N
Daltfresh,No Homepage,No Description,haskell,N
Sub-Ex,No Homepage,No Description,csharp,N
Zathin,No Homepage,No Description,asm,Y
Ronstring,No Homepage,No Description,haskell,Y
Prodder,No Homepage,No Description,asm,N
Alpha,No Homepage,No Description,java,Y
Sub-Ex,No Homepage,No Description,ocaml,Y
Vagram,No Homepage,No Description,cpp,Y
Treeflex,No Homepage,No Description,csharp,N
Zamit,No Homepage,No Description,ocaml,Y
It,No Homepage,No Description,kotlin,Y
Trippledex,No Homepage,No Description,java,Y
Konklux,No Homepage,No Description,kotlin,N
Fixflex,No Homepage,No Description,haskell,Y
Veribet,No Homepage,No Description,bash,N
Stim,No Homepage,No Description,kotlin,Y
Ronstring,No Homepage,No Description,haskell,Y
Transcof,No Homepage,No Description,java,N
Stim,No Homepage,No Description,asm,N
Stronghold,No Homepage,No Description,kotlin,Y
Cardify,No Homepage,No Description,javascript,Y
Fix San,No Homepage,No Description,asm,N
Vagram,No Homepage,No Description,bash,N
It,No Homepage,No Description,objectivec,N
Fintone,No Homepage,No Description,java,N
Home Ing,No Homepage,No Description,ocaml,Y
Y-Solowarm,No Homepage,No Description,python,Y
Bigtax,No Homepage,No Description,kotlin,Y
Cookley,No Homepage,No Description,ocaml,N
Cardguard,No Homepage,No Description,bash,N
Konklux,No Homepage,No Description,objectivec,N
Aerified,No Homepage,No Description,python,N
Voltsillam,No Homepage,No Description,csharp,Y
Konklab,No Homepage,No Description,ocaml,N
Subin,No Homepage,No Description,cpp,Y
Tresom,No Homepage,No Description,kotlin,N
Stim,No Homepage,No Description,javascript,N
Regrant,No Homepage,No Description,python,Y
Tin,No Homepage,No Description,csharp,N
Bigtax,No Homepage,No Description,haskell,Y
Gembucket,No Homepage,No Description,javascript,Y
Greenlam,No Homepage,No Description,asm,N
Redhold,No Homepage,No Description,kotlin,N
Bamity,No Homepage,No Description,ocaml,N
Cardguard,No Homepage,No Description,haskell,N
Bamity,No Homepage,No Description,cpp,Y
Sub-Ex,No Homepage,No Description,objectivec,N
Tampflex,No Homepage,No Description,ocaml,N
Keylex,No Homepage,No Description,ocaml,N
Latlux,No Homepage,No Description,objectivec,N
Latlux,No Homepage,No Description,bash,Y
Sonair,No Homepage,No Description,kotlin,Y
Stim,No Homepage,No Description,kotlin,N
Vagram,No Homepage,No Description,kotlin,Y
Tresom,No Homepage,No Description,javascript,Y
Fixflex,No Homepage,No Description,java,Y
Latlux,No Homepage,No Description,javascript,Y
Konklux,No Homepage,No Description,ocaml,Y
Hatity,No Homepage,No Description,haskell,N
Duobam,No Homepage,No Description,csharp,N
Tres-Zap,No Homepage,No Description,asm,Y
Sonair,No Homepage,No Description,cpp,Y
Fix San,No Homepage,No Description,cpp,Y
Wrapsafe,No Homepage,No Description,haskell,Y
Opela,No Homepage,No Description,ocaml,Y
Prodder,No Homepage,No Description,javascript,Y
Zontrax,No Homepage,No Description,asm,Y
Overhold,No Homepage,No Description,python,N
Konklux,No Homepage,No Description,cpp,Y
Cardguard,No Homepage,No Description,objectivec,N
Sonsing,No Homepage,No Description,javascript,N
Prodder,No Homepage,No Description,csharp,N
Stim,No Homepage,No Description,bash,N
Quo Lux,No Homepage,No Description,bash,N
Bitchip,No Homepage,No Description,javascript,N
Latlux,No Homepage,No Description,bash,N
Konklux,No Homepage,No Description,kotlin,N
Flowdesk,No Homepage,No Description,python,Y
Fix San,No Homepage,No Description,haskell,N
Zaam-Dox,No Homepage,No Description,java,Y
Sonair,No Homepage,No Description,cpp,N
Sonair,No Homepage,No Description,asm,N
Sonsing,No Homepage,No Description,ocaml,N
Lotstring,No Homepage,No Description,kotlin,N
Rank,No Homepage,No Description,java,Y
Job,No Homepage,No Description,csharp,Y
Namfix,No Homepage,No Description,kotlin,N
Quo Lux,No Homepage,No Description,cpp,N
Bigtax,No Homepage,No Description,python,Y
Bitwolf,No Homepage,No Description,javascript,N
Biodex,No Homepage,No Description,java,Y
Zoolab,No Homepage,No Description,objectivec,Y
Sonsing,No Homepage,No Description,javascript,Y
Keylex,No Homepage,No Description,objectivec,Y
Job,No Homepage,No Description,haskell,N
Fix San,No Homepage,No Description,asm,Y
Stim,No Homepage,No Description,kotlin,Y
Domainer,No Homepage,No Description,python,Y
Daltfresh,No Homepage,No Description,javascript,N
Otcom,No Homepage,No Description,kotlin,N
Temp,No Homepage,No Description,python,N
Zamit,No Homepage,No Description,javascript,N
Bamity,No Homepage,No Description,java,N
Stronghold,No Homepage,No Description,ocaml,N
Aerified,No Homepage,No Description,cpp,Y
Mat Lam Tam,No Homepage,No Description,objectivec,Y
Overhold,No Homepage,No Description,cpp,Y
Holdlamis,No Homepage,No Description,bash,N
Redhold,No Homepage,No Description,python,Y
Lotlux,No Homepage,No Description,csharp,N
Wrapsafe,No Homepage,No Description,csharp,N
Voyatouch,No Homepage,No Description,kotlin,Y
Voyatouch,No Homepage,No Description,objectivec,Y
Quo Lux,No Homepage,No Description,asm,N
Veribet,No Homepage,No Description,java,Y
Asoka,No Homepage,No Description,kotlin,N
Sub-Ex,No Homepage,No Description,haskell,N
Voyatouch,No Homepage,No Description,java,N
It,No Homepage,No Description,python,N
Asoka,No Homepage,No Description,kotlin,Y
Biodex,No Homepage,No Description,bash,Y
Opela,No Homepage,No Description,kotlin,Y
Holdlamis,No Homepage,No Description,ocaml,Y
Overhold,No Homepage,No Description,cpp,Y
Redhold,No Homepage,No Description,csharp,Y
Tres-Zap,No Homepage,No Description,python,N
Tresom,No Homepage,No Description,ocaml,N
Lotlux,No Homepage,No Description,javascript,N
Tres-Zap,No Homepage,No Description,cpp,N
Bigtax,No Homepage,No Description,java,N
Cardguard,No Homepage,No Description,csharp,Y
Temp,No Homepage,No Description,kotlin,Y
Gembucket,No Homepage,No Description,kotlin,Y
Andalax,No Homepage,No Description,asm,Y
Zamit,No Homepage,No Description,python,Y
Tresom,No Homepage,No Description,objectivec,N
Ventosanzap,No Homepage,No Description,ocaml,Y
Vagram,No Homepage,No Description,cpp,N
Keylex,No Homepage,No Description,objectivec,N
Bitchip,No Homepage,No Description,ocaml,N
Mat Lam Tam,No Homepage,No Description,java,N
Transcof,No Homepage,No Description,java,N
Opela,No Homepage,No Description,python,Y
Lotstring,No Homepage,No Description,kotlin,Y
Veribet,No Homepage,No Description,asm,Y
Zaam-Dox,No Homepage,No Description,javascript,N
Zathin,No Homepage,No Description,java,N
Lotstring,No Homepage,No Description,python,N
Tresom,No Homepage,No Description,haskell,Y
Fix San,No Homepage,No Description,kotlin,Y
Bigtax,No Homepage,No Description,ocaml,N
Vagram,No Homepage,No Description,java,N
Konklux,No Homepage,No Description,kotlin,N
Lotlux,No Homepage,No Description,java,N
Konklab,No Homepage,No Description,javascript,Y
Andalax,No Homepage,No Description,javascript,N
Namfix,No Homepage,No Description,bash,N
Gembucket,No Homepage,No Description,cpp,N
Tres-Zap,No Homepage,No Description,haskell,N
Flowdesk,No Homepage,No Description,java,Y
Wrapsafe,No Homepage,No Description,csharp,Y
Konklab,No Homepage,No Description,cpp,Y
Flexidy,No Homepage,No Description,ocaml,N
Domainer,No Homepage,No Description,java,N
Voltsillam,No Homepage,No Description,cpp,Y
Alpha,No Homepage,No Description,objectivec,N
Wrapsafe,No Homepage,No Description,bash,Y
Fintone,No Homepage,No Description,ocaml,Y
Lotstring,No Homepage,No Description,javascript,Y
Hatity,No Homepage,No Description,java,Y
Veribet,No Homepage,No Description,haskell,Y
Ventosanzap,No Homepage,No Description,python,Y
Pannier,No Homepage,No Description,bash,Y
Stringtough,No Homepage,No Description,kotlin,Y
Otcom,No Homepage,No Description,javascript,Y
Rank,No Homepage,No Description,asm,N
Subin,No Homepage,No Description,java,Y
Span,No Homepage,No Description,kotlin,N
Lotstring,No Homepage,No Description,haskell,Y
Lotstring,No Homepage,No Description,python,Y
Gembucket,No Homepage,No Description,bash,Y
Transcof,No Homepage,No Description,asm,Y
Sonsing,No Homepage,No Description,java,N
Zathin,No Homepage,No Description,ocaml,Y
Temp,No Homepage,No Description,cpp,N
Voyatouch,No Homepage,No Description,ocaml,N
Tampflex,No Homepage,No Description,haskell,N
Rank,No Homepage,No Description,ocaml,N
Bamity,No Homepage,No Description,csharp,Y
Mat Lam Tam,No Homepage,No Description,objectivec,N
Lotlux,No Homepage,No Description,cpp,N
Job,No Homepage,No Description,ocaml,Y
Holdlamis,No Homepage,No Description,python,Y
Lotstring,No Homepage,No Description,csharp,N
Wrapsafe,No Homepage,No Description,objectivec,N
Asoka,No Homepage,No Description,asm,Y
Alphazap,No Homepage,No Description,cpp,Y
Biodex,No Homepage,No Description,asm,N
Subin,No Homepage,No Description,kotlin,Y
Zamit,No Homepage,No Description,csharp,N
Namfix,No Homepage,No Description,python,N
Asoka,No Homepage,No Description,ocaml,N
Namfix,No Homepage,No Description,python,Y
Pannier,No Homepage,No Description,python,Y
Gembucket,No Homepage,No Description,cpp,Y
Ronstring,No Homepage,No Description,cpp,N
Veribet,No Homepage,No Description,bash,Y
Veribet,No Homepage,No Description,objectivec,Y
Stim,No Homepage,No Description,cpp,N
Alpha,No Homepage,No Description,haskell,N
Bamity,No Homepage,No Description,java,N
Span,No Homepage,No Description,javascript,Y
Rank,No Homepage,No Description,ocaml,Y
Trippledex,No Homepage,No Description,haskell,Y
Konklab,No Homepage,No Description,kotlin,N
Veribet,No Homepage,No Description,csharp,N
Biodex,No Homepage,No Description,haskell,Y
Bigtax,No Homepage,No Description,csharp,N
Andalax,No Homepage,No Description,haskell,N
Toughjoyfax,No Homepage,No Description,haskell,N
Lotlux,No Homepage,No Description,python,Y
Bigtax,No Homepage,No Description,objectivec,N
Redhold,No Homepage,No Description,java,N
Daltfresh,No Homepage,No Description,java,Y
Keylex,No Homepage,No Description,kotlin,Y
Daltfresh,No Homepage,No Description,kotlin,Y
Regrant,No Homepage,No Description,haskell,N
Domainer,No Homepage,No Description,bash,N
Bitwolf,No Homepage,No Description,python,Y
Zathin,No Homepage,No Description,python,Y
Treeflex,No Homepage,No Description,kotlin,Y
Ronstring,No Homepage,No Description,cpp,N
Stronghold,No Homepage,No Description,python,Y
Tempsoft,No Homepage,No Description,java,N
Namfix,No Homepage,No Description,bash,N
Flexidy,No Homepage,No Description,haskell,Y
Kanlam,No Homepage,No Description,java,Y
Tres-Zap,No Homepage,No Description,java,N
Stim,No Homepage,No Description,kotlin,Y
Duobam,No Homepage,No Description,cpp,N
Daltfresh,No Homepage,No Description,asm,N
Otcom,No Homepage,No Description,python,N
Toughjoyfax,No Homepage,No Description,csharp,Y
Tresom,No Homepage,No Description,haskell,Y
Aerified,No Homepage,No Description,haskell,N
Holdlamis,No Homepage,No Description,cpp,N
Kanlam,No Homepage,No Description,cpp,N
Tin,No Homepage,No Description,ocaml,N
Redhold,No Homepage,No Description,ocaml,N
Fintone,No Homepage,No Description,csharp,Y
Overhold,No Homepage,No Description,bash,N
Tampflex,No Homepage,No Description,cpp,Y
Stim,No Homepage,No Description,haskell,Y
Kanlam,No Homepage,No Description,kotlin,Y
Stim,No Homepage,No Description,csharp,N
Tresom,No Homepage,No Description,javascript,Y
Cardguard,No Homepage,No Description,ocaml,N
Temp,No Homepage,No Description,haskell,Y
Sonsing,No Homepage,No Description,ocaml,Y
Zamit,No Homepage,No Description,python,N
Stronghold,No Homepage,No Description,asm,N
Duobam,No Homepage,No Description,asm,N
Lotlux,No Homepage,No Description,java,Y
Stim,No Homepage,No Description,objectivec,Y
Zaam-Dox,No Homepage,No Description,javascript,Y
Veribet,No Homepage,No Description,csharp,Y
Voyatouch,No Homepage,No Description,bash,Y
Voltsillam,No Homepage,No Description,java,N
Tresom,No Homepage,No Description,objectivec,N
Bytecard,No Homepage,No Description,java,N
Bigtax,No Homepage,No Description,cpp,N
Tampflex,No Homepage,No Description,python,N
Domainer,No Homepage,No Description,cpp,Y
Konklab,No Homepage,No Description,python,Y
Opela,No Homepage,No Description,java,Y
Sonsing,No Homepage,No Description,ocaml,Y
Zamit,No Homepage,No Description,javascript,N
Tres-Zap,No Homepage,No Description,cpp,N
Quo Lux,No Homepage,No Description,haskell,Y
Keylex,No Homepage,No Description,objectivec,Y
Tampflex,No Homepage,No Description,cpp,Y
Bitwolf,No Homepage,No Description,csharp,Y
Overhold,No Homepage,No Description,asm,N
Temp,No Homepage,No Description,bash,N
Voltsillam,No Homepage,No Description,csharp,N
Flowdesk,No Homepage,No Description,bash,N
Sonsing,No Homepage,No Description,csharp,Y
Voltsillam,No Homepage,No Description,objectivec,N
Bitwolf,No Homepage,No Description,objectivec,Y
Zaam-Dox,No Homepage,No Description,kotlin,Y
Regrant,No Homepage,No Description,python,N
Veribet,No Homepage,No Description,python,N
Zaam-Dox,No Homepage,No Description,java,N
Biodex,No Homepage,No Description,bash,N
Vagram,No Homepage,No Description,bash,Y
Domainer,No Homepage,No Description,cpp,N
Bitchip,No Homepage,No Description,objectivec,Y
Stronghold,No Homepage,No Description,cpp,N
Y-find,No Homepage,No Description,csharp,Y
Zaam-Dox,No Homepage,No Description,csharp,Y
Viva,No Homepage,No Description,python,N
Subin,No Homepage,No Description,kotlin,N
Stronghold,No Homepage,No Description,cpp,Y
Otcom,No Homepage,No Description,cpp,N
Viva,No Homepage,No Description,python,N
Transcof,No Homepage,No Description,cpp,Y
Konklux,No Homepage,No Description,asm,Y
Bigtax,No Homepage,No Description,javascript,N
Fintone,No Homepage,No Description,objectivec,Y
Cookley,No Homepage,No Description,objectivec,N
Home Ing,No Homepage,No Description,kotlin,Y
Flexidy,No Homepage,No Description,python,N
Konklux,No Homepage,No Description,cpp,N
Lotlux,No Homepage,No Description,kotlin,Y
Mat Lam Tam,No Homepage,No Description,asm,N
Asoka,No Homepage,No Description,java,Y
Redhold,No Homepage,No Description,cpp,Y
Fintone,No Homepage,No Description,ocaml,Y
Hatity,No Homepage,No Description,bash,N
Konklab,No Homepage,No Description,asm,N
Sonair,No Homepage,No Description,haskell,Y
Ventosanzap,No Homepage,No Description,cpp,Y
Zathin,No Homepage,No Description,cpp,Y
Otcom,No Homepage,No Description,javascript,Y
Asoka,No Homepage,No Description,python,Y
Sub-Ex,No Homepage,No Description,bash,N
Greenlam,No Homepage,No Description,kotlin,N
Tres-Zap,No Homepage,No Description,bash,N
Veribet,No Homepage,No Description,python,N
Flowdesk,No Homepage,No Description,csharp,N
Zontrax,No Homepage,No Description,java,Y
Prodder,No Homepage,No Description,objectivec,N
Veribet,No Homepage,No Description,haskell,N
Prodder,No Homepage,No Description,objectivec,N
Prodder,No Homepage,No Description,javascript,Y
Voltsillam,No Homepage,No Description,ocaml,Y
Sonsing,No Homepage,No Description,bash,Y
Temp,No Homepage,No Description,cpp,Y
Opela,No Homepage,No Description,ocaml,N
Veribet,No Homepage,No Description,bash,N
Cardguard,No Homepage,No Description,objectivec,N
Overhold,No Homepage,No Description,haskell,N
Zaam-Dox,No Homepage,No Description,objectivec,N
Tampflex,No Homepage,No Description,csharp,Y
Subin,No Homepage,No Description,objectivec,Y
Bitchip,No Homepage,No Description,haskell,N
Zamit,No Homepage,No Description,haskell,Y
Alpha,No Homepage,No Description,javascript,N
Bytecard,No Homepage,No Description,ocaml,N
Zamit,No Homepage,No Description,python,N
Prodder,No Homepage,No Description,java,Y
Flexidy,No Homepage,No Description,bash,Y
Namfix,No Homepage,No Description,cpp,N
Sonair,No Homepage,No Description,csharp,Y
Prodder,No Homepage,No Description,python,Y
Greenlam,No Homepage,No Description,csharp,N
Mat Lam Tam,No Homepage,No Description,cpp,Y
Tres-Zap,No Homepage,No Description,objectivec,Y
Aerified,No Homepage,No Description,kotlin,N
Sonair,No Homepage,No Description,objectivec,Y
Konklux,No Homepage,No Description,objectivec,N
Bitwolf,No Homepage,No Description,python,Y
Hatity,No Homepage,No Description,cpp,Y
Hatity,No Homepage,No Description,javascript,N
Rank,No Homepage,No Description,cpp,Y
Redhold,No Homepage,No Description,objectivec,N
Zoolab,No Homepage,No Description,python,N
Trippledex,No Homepage,No Description,csharp,N
Konklab,No Homepage,No Description,javascript,N
Zamit,No Homepage,No Description,cpp,Y
Konklab,No Homepage,No Description,cpp,N
Flexidy,No Homepage,No Description,csharp,Y
Zoolab,No Homepage,No Description,haskell,Y
Veribet,No Homepage,No Description,cpp,Y
Prodder,No Homepage,No Description,asm,N
Lotlux,No Homepage,No Description,ocaml,N
Andalax,No Homepage,No Description,ocaml,Y
Andalax,No Homepage,No Description,kotlin,Y
Konklab,No Homepage,No Description,asm,Y
Sub-Ex,No Homepage,No Description,javascript,Y
Cookley,No Homepage,No Description,javascript,Y
Stim,No Homepage,No Description,python,N
Namfix,No Homepage,No Description,ocaml,N
Voyatouch,No Homepage,No Description,java,N
Bitwolf,No Homepage,No Description,haskell,Y
Cardguard,No Homepage,No Description,python,N
Vagram,No Homepage,No Description,kotlin,N
Asoka,No Homepage,No Description,cpp,Y
Vagram,No Homepage,No Description,python,Y
Fintone,No Homepage,No Description,asm,N
Voyatouch,No Homepage,No Description,asm,N
Tempsoft,No Homepage,No Description,cpp,Y
Cardguard,No Homepage,No Description,bash,Y
Tresom,No Homepage,No Description,asm,Y
Veribet,No Homepage,No Description,ocaml,Y
Tempsoft,No Homepage,No Description,java,Y
Voyatouch,No Homepage,No Description,python,N
Bamity,No Homepage,No Description,python,Y
It,No Homepage,No Description,kotlin,N
Zaam-Dox,No Homepage,No Description,javascript,N
Bamity,No Homepage,No Description,csharp,N
Treeflex,No Homepage,No Description,kotlin,N
Konklux,No Homepage,No Description,bash,Y
Stim,No Homepage,No Description,javascript,Y
Viva,No Homepage,No Description,cpp,N
Subin,No Homepage,No Description,ocaml,Y
Fintone,No Homepage,No Description,objectivec,Y
Hatity,No Homepage,No Description,asm,Y
Bigtax,No Homepage,No Description,cpp,N
Mat Lam Tam,No Homepage,No Description,ocaml,Y
Y-find,No Homepage,No Description,cpp,N
Subin,No Homepage,No Description,python,N
It,No Homepage,No Description,objectivec,Y
Zoolab,No Homepage,No Description,cpp,Y
Otcom,No Homepage,No Description,asm,Y
Duobam,No Homepage,No Description,ocaml,N
Holdlamis,No Homepage,No Description,cpp,N
Tempsoft,No Homepage,No Description,csharp,N
Zontrax,No Homepage,No Description,java,Y
Overhold,No Homepage,No Description,python,Y
Tres-Zap,No Homepage,No Description,cpp,Y
Regrant,No Homepage,No Description,csharp,N
Regrant,No Homepage,No Description,python,N
Voyatouch,No Homepage,No Description,haskell,N
Kanlam,No Homepage,No Description,ocaml,Y
It,No Homepage,No Description,ocaml,Y
Andalax,No Homepage,No Description,javascript,N
Latlux,No Homepage,No Description,csharp,Y
Kanlam,No Homepage,No Description,haskell,N
Zathin,No Homepage,No Description,ocaml,Y
Trippledex,No Homepage,No Description,python,N
